,Old Norse Root,Icelandic Word,Norwegian Nynorsk Word,Old Norse URL,Icelandic URL,Norwegian Nynorsk URL
40,barr,barr,bar,https://en.wiktionary.org/wiki/barr#Old_Norse,https://en.wiktionary.org/wiki/barr,https://en.wiktionary.org/wiki/bar
41,baun,baun,baune,https://en.wiktionary.org/wiki/baun#Old_Norse,https://en.wiktionary.org/wiki/baun,https://en.wiktionary.org/wiki/baune
42,baun,baun,bønne,https://en.wiktionary.org/wiki/baun#Old_Norse,https://en.wiktionary.org/wiki/baun,https://en.wiktionary.org/wiki/b%C3%B8nne
43,bein,bein,bein,https://en.wiktionary.org/wiki/bein#Old_Norse,https://en.wiktionary.org/wiki/bein,https://en.wiktionary.org/wiki/bein
44,bekkr,bekkur,bekk,https://en.wiktionary.org/wiki/bekkr#Old_Norse,https://en.wiktionary.org/wiki/bekkur,https://en.wiktionary.org/wiki/bekk
45,belgr,belgur,belg,https://en.wiktionary.org/wiki/belgr#Old_Norse,https://en.wiktionary.org/wiki/belgur,https://en.wiktionary.org/wiki/belg
46,belti,belti,belte,https://en.wiktionary.org/wiki/belti#Old_Norse,https://en.wiktionary.org/wiki/belti,https://en.wiktionary.org/wiki/belte
47,berr,ber,berre,https://en.wiktionary.org/wiki/berr#Old_Norse,https://en.wiktionary.org/wiki/ber,https://en.wiktionary.org/wiki/berre
48,bera,bera,bera,https://en.wiktionary.org/wiki/bera#Old_Norse,https://en.wiktionary.org/wiki/bera,https://en.wiktionary.org/wiki/bera
49,bera,bera,bere,https://en.wiktionary.org/wiki/bera#Old_Norse,https://en.wiktionary.org/wiki/bera,https://en.wiktionary.org/wiki/bere
50,bera,bera,berra,https://en.wiktionary.org/wiki/bera#Old_Norse,https://en.wiktionary.org/wiki/bera,https://en.wiktionary.org/wiki/berra
51,berja,berja,berja,https://en.wiktionary.org/wiki/berja#Old_Norse,https://en.wiktionary.org/wiki/berja,https://en.wiktionary.org/wiki/berja
52,betra,betra,betra,https://en.wiktionary.org/wiki/betra#Old_Norse,https://en.wiktionary.org/wiki/betra,https://en.wiktionary.org/wiki/betra
53,betri,betri,betre,https://en.wiktionary.org/wiki/betri#Old_Norse,https://en.wiktionary.org/wiki/betri,https://en.wiktionary.org/wiki/betre
54,beygja,beygja,bøya,https://en.wiktionary.org/wiki/beygja#Old_Norse,https://en.wiktionary.org/wiki/beygja,https://en.wiktionary.org/wiki/b%C3%B8ya
55,birna,birna,binne,https://en.wiktionary.org/wiki/birna#Old_Norse,https://en.wiktionary.org/wiki/birna,https://en.wiktionary.org/wiki/binne
56,biskup,biskup,biskop,https://en.wiktionary.org/wiki/biskup#Old_Norse,https://en.wiktionary.org/wiki/biskup,https://en.wiktionary.org/wiki/biskop
57,bitr,bitur,bitter,https://en.wiktionary.org/wiki/bitr#Old_Norse,https://en.wiktionary.org/wiki/bitur,https://en.wiktionary.org/wiki/bitter
58,biðja,biðja,be,https://en.wiktionary.org/wiki/bi%C3%B0ja#Old_Norse,https://en.wiktionary.org/wiki/bi%C3%B0ja,https://en.wiktionary.org/wiki/be
59,biðja,biðja,bede,https://en.wiktionary.org/wiki/bi%C3%B0ja#Old_Norse,https://en.wiktionary.org/wiki/bi%C3%B0ja,https://en.wiktionary.org/wiki/bede
60,bjarga,bjarga,berge,https://en.wiktionary.org/wiki/bjarga#Old_Norse,https://en.wiktionary.org/wiki/bjarga,https://en.wiktionary.org/wiki/berge
61,bjartr,bjartur,bjart,https://en.wiktionary.org/wiki/bjartr#Old_Norse,https://en.wiktionary.org/wiki/bjartur,https://en.wiktionary.org/wiki/bjart
62,bjartr,Bjartur,bjart,https://en.wiktionary.org/wiki/bjartr#Old_Norse,https://en.wiktionary.org/wiki/Bjartur,https://en.wiktionary.org/wiki/bjart
63,bjórr,bjór,bever,https://en.wiktionary.org/wiki/bj%C3%B3rr#Old_Norse,https://en.wiktionary.org/wiki/bj%C3%B3r,https://en.wiktionary.org/wiki/bever
64,bjóða,bjóða,bjode,https://en.wiktionary.org/wiki/bj%C3%B3%C3%B0a#Old_Norse,https://en.wiktionary.org/wiki/bj%C3%B3%C3%B0a,https://en.wiktionary.org/wiki/bjode
65,bjǫrk,björk,bjørk,https://en.wiktionary.org/wiki/bj%C7%ABrk#Old_Norse,https://en.wiktionary.org/wiki/bj%C3%B6rk,https://en.wiktionary.org/wiki/bj%C3%B8rk
66,bjǫrn,björn,bjørn,https://en.wiktionary.org/wiki/bj%C7%ABrn#Old_Norse,https://en.wiktionary.org/wiki/bj%C3%B6rn,https://en.wiktionary.org/wiki/bj%C3%B8rn
67,blautr,blautur,blaut,https://en.wiktionary.org/wiki/blautr#Old_Norse,https://en.wiktionary.org/wiki/blautur,https://en.wiktionary.org/wiki/blaut
68,blæja,bleia,bleie,https://en.wiktionary.org/wiki/bl%C3%A6ja#Old_Norse,https://en.wiktionary.org/wiki/bleia,https://en.wiktionary.org/wiki/bleie
69,bleikja,bleikja,bleikja,https://en.wiktionary.org/wiki/bleikja#Old_Norse,https://en.wiktionary.org/wiki/bleikja,https://en.wiktionary.org/wiki/bleikja
