,Old Norse Root,Icelandic Word,Norwegian Bokmål Word,Old Norse URL,Icelandic URL,Norwegian Bokmål URL
40,bjarga,bjarga,berge,https://en.wiktionary.org/wiki/bjarga#Old_Norse,https://en.wiktionary.org/wiki/bjarga,https://en.wiktionary.org/wiki/berge
41,bjóða,bjóða,byde,https://en.wiktionary.org/wiki/bj%C3%B3%C3%B0a#Old_Norse,https://en.wiktionary.org/wiki/bj%C3%B3%C3%B0a,https://en.wiktionary.org/wiki/byde
42,bjǫrk,björk,bjerk,https://en.wiktionary.org/wiki/bj%C7%ABrk#Old_Norse,https://en.wiktionary.org/wiki/bj%C3%B6rk,https://en.wiktionary.org/wiki/bjerk
43,bjǫrk,björk,bjørk,https://en.wiktionary.org/wiki/bj%C7%ABrk#Old_Norse,https://en.wiktionary.org/wiki/bj%C3%B6rk,https://en.wiktionary.org/wiki/bj%C3%B8rk
44,bjǫrn,björn,bjørn,https://en.wiktionary.org/wiki/bj%C7%ABrn#Old_Norse,https://en.wiktionary.org/wiki/bj%C3%B6rn,https://en.wiktionary.org/wiki/bj%C3%B8rn
45,blautr,blautur,bløt,https://en.wiktionary.org/wiki/blautr#Old_Norse,https://en.wiktionary.org/wiki/blautur,https://en.wiktionary.org/wiki/bl%C3%B8t
46,blað,blað,blad,https://en.wiktionary.org/wiki/bla%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/bla%C3%B0,https://en.wiktionary.org/wiki/blad
47,blæja,bleia,bleie,https://en.wiktionary.org/wiki/bl%C3%A6ja#Old_Norse,https://en.wiktionary.org/wiki/bleia,https://en.wiktionary.org/wiki/bleie
48,bleikr,bleikur,bleik,https://en.wiktionary.org/wiki/bleikr#Old_Norse,https://en.wiktionary.org/wiki/bleikur,https://en.wiktionary.org/wiki/bleik
49,bleikr,bleikur,blek,https://en.wiktionary.org/wiki/bleikr#Old_Norse,https://en.wiktionary.org/wiki/bleikur,https://en.wiktionary.org/wiki/blek
50,*bljúgr,bljúgur,blyg,https://en.wiktionary.org/wiki/Reconstruction:Old_Norse/blj%C3%BAgr,https://en.wiktionary.org/wiki/blj%C3%BAgur,https://en.wiktionary.org/wiki/blyg
51,blása,blása,blåse,https://en.wiktionary.org/wiki/bl%C3%A1sa#Old_Norse,https://en.wiktionary.org/wiki/bl%C3%A1sa,https://en.wiktionary.org/wiki/bl%C3%A5se
52,blœða,blæða,blø,https://en.wiktionary.org/wiki/bl%C5%93%C3%B0a#Old_Norse,https://en.wiktionary.org/wiki/bl%C3%A6%C3%B0a,https://en.wiktionary.org/wiki/bl%C3%B8
53,blóð,blóð,blod,https://en.wiktionary.org/wiki/bl%C3%B3%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/bl%C3%B3%C3%B0,https://en.wiktionary.org/wiki/blod
54,bogi,bogi,boge,https://en.wiktionary.org/wiki/bogi#Old_Norse,https://en.wiktionary.org/wiki/bogi,https://en.wiktionary.org/wiki/boge
55,bogi,bogi,bue,https://en.wiktionary.org/wiki/bogi#Old_Norse,https://en.wiktionary.org/wiki/bogi,https://en.wiktionary.org/wiki/bue
56,borr,bor,bor,https://en.wiktionary.org/wiki/borr#Old_Norse,https://en.wiktionary.org/wiki/bor,https://en.wiktionary.org/wiki/bor
57,borg,borg,borg,https://en.wiktionary.org/wiki/borg#Old_Norse,https://en.wiktionary.org/wiki/borg,https://en.wiktionary.org/wiki/borg
58,borð,borð,bord,https://en.wiktionary.org/wiki/bor%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/bor%C3%B0,https://en.wiktionary.org/wiki/bord
