,Recipient Language,Source Language(s),Title,Subcategories,Entries,URL
0,English,Austronesian languages,Category:English terms derived from Austronesian languages,9,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Austronesian_languages
1,Spanish,Italic languages,Category:Spanish terms derived from Italic languages,0,11,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Italic_languages
2,Cebuano,Philippine languages,Category:Cebuano terms derived from Philippine languages,4,40,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_Philippine_languages
3,Portuguese,Romance languages,Category:Portuguese terms derived from Romance languages,7,10,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Romance_languages
4,Portuguese,Afroasiatic languages,Category:Portuguese terms derived from Afroasiatic languages,8,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Afroasiatic_languages
5,Finnish,Uralic languages,Category:Finnish terms derived from Uralic languages,1,11,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Uralic_languages
6,Italian,Romance languages,Category:Italian terms derived from Romance languages,5,11,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Romance_languages
7,French,Italic languages,Category:French terms derived from Italic languages,9,1,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Italic_languages
8,German,Romance languages,Category:German terms derived from Romance languages,5,11,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Romance_languages
9,French,Austronesian languages,Category:French terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Austronesian_languages
10,Icelandic,Germanic languages,Category:Icelandic terms derived from Germanic languages,6,1,https://en.wiktionary.org/wiki/Category:Icelandic_terms_derived_from_Germanic_languages
11,French,Romance languages,Category:French terms derived from Romance languages,6,10,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Romance_languages
12,English,Algic languages,Category:English terms derived from Algic languages,2,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Algic_languages
13,Spanish,Romance languages,Category:Spanish terms derived from Romance languages,6,11,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Romance_languages
14,Dutch,Romance languages,Category:Dutch terms derived from Romance languages,3,10,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_Romance_languages
15,Scots,Germanic languages,Category:Scots terms derived from Germanic languages,4,2,https://en.wiktionary.org/wiki/Category:Scots_terms_derived_from_Germanic_languages
16,Faroese,Afroasiatic languages,Category:Faroese terms derived from Afroasiatic languages,5,1,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Afroasiatic_languages
17,Indonesian,Semitic languages,Category:Indonesian terms derived from Semitic languages,6,1,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Semitic_languages
18,Polish,Semitic languages,Category:Polish terms derived from Semitic languages,4,1,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Semitic_languages
19,Italian,Austronesian languages,Category:Italian terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Austronesian_languages
20,Latin,Afroasiatic languages,Category:Latin terms derived from Afroasiatic languages,6,1,https://en.wiktionary.org/wiki/Category:Latin_terms_derived_from_Afroasiatic_languages
21,Spanish,Afroasiatic languages,Category:Spanish terms derived from Afroasiatic languages,8,1,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Afroasiatic_languages
22,German,Austronesian languages,Category:German terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Austronesian_languages
23,Translingual,Afroasiatic languages,Category:Translingual terms derived from Afroasiatic languages,4,1,https://en.wiktionary.org/wiki/Category:Translingual_terms_derived_from_Afroasiatic_languages
24,Gujarati,Iranian languages,Category:Gujarati terms derived from Iranian languages,4,1,https://en.wiktionary.org/wiki/Category:Gujarati_terms_derived_from_Iranian_languages
25,Spanish,Austronesian languages,Category:Spanish terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Austronesian_languages
26,Slovak,Slavic languages,Category:Slovak terms derived from Slavic languages,4,1,https://en.wiktionary.org/wiki/Category:Slovak_terms_derived_from_Slavic_languages
27,Russian,Romance languages,Category:Russian terms derived from Romance languages,0,10,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Romance_languages
28,Indonesian,Germanic languages,Category:Indonesian terms derived from Germanic languages,5,2,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Germanic_languages
29,Slovak,Semitic languages,Category:Slovak terms derived from Semitic languages,4,2,https://en.wiktionary.org/wiki/Category:Slovak_terms_derived_from_Semitic_languages
30,Polish,Romance languages,Category:Polish terms derived from Romance languages,4,10,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Romance_languages
31,Hindi,Semitic languages,Category:Hindi terms derived from Semitic languages,7,1,https://en.wiktionary.org/wiki/Category:Hindi_terms_derived_from_Semitic_languages
32,Portuguese,Turkic languages,Category:Portuguese terms derived from Turkic languages,5,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Turkic_languages
33,Marshallese,Afroasiatic languages,Category:Marshallese terms derived from Afroasiatic languages,3,1,https://en.wiktionary.org/wiki/Category:Marshallese_terms_derived_from_Afroasiatic_languages
34,Cimbrian,Germanic languages,Category:Cimbrian terms derived from Germanic languages,6,1,https://en.wiktionary.org/wiki/Category:Cimbrian_terms_derived_from_Germanic_languages
35,Cebuano,Romance languages,Category:Cebuano terms derived from Romance languages,3,10,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_Romance_languages
36,Polish,Austronesian languages,Category:Polish terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Austronesian_languages
37,Greek,Italic languages,Category:Greek terms derived from Italic languages,6,1,https://en.wiktionary.org/wiki/Category:Greek_terms_derived_from_Italic_languages
38,Faroese,Austronesian languages,Category:Faroese terms derived from Austronesian languages,3,1,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Austronesian_languages
39,Portuguese,Austronesian languages,Category:Portuguese terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Austronesian_languages
40,Esperanto,Afroasiatic languages,Category:Esperanto terms derived from Afroasiatic languages,6,1,https://en.wiktionary.org/wiki/Category:Esperanto_terms_derived_from_Afroasiatic_languages
41,Tagalog,Philippine languages,Category:Tagalog terms derived from Philippine languages,5,10,https://en.wiktionary.org/wiki/Category:Tagalog_terms_derived_from_Philippine_languages
42,Armenian,Semitic languages,Category:Armenian terms derived from Semitic languages,4,1,https://en.wiktionary.org/wiki/Category:Armenian_terms_derived_from_Semitic_languages
43,Azerbaijani,Semitic languages,Category:Azerbaijani terms derived from Semitic languages,5,1,https://en.wiktionary.org/wiki/Category:Azerbaijani_terms_derived_from_Semitic_languages
44,Italian,Slavic languages,Category:Italian terms derived from Slavic languages,7,1,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Slavic_languages
45,Icelandic,Semitic languages,Category:Icelandic terms derived from Semitic languages,4,1,https://en.wiktionary.org/wiki/Category:Icelandic_terms_derived_from_Semitic_languages
46,Spanish,Slavic languages,Category:Spanish terms derived from Slavic languages,5,1,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Slavic_languages
47,Aromanian,Italic languages,Category:Aromanian terms derived from Italic languages,4,1,https://en.wiktionary.org/wiki/Category:Aromanian_terms_derived_from_Italic_languages
48,Urdu,Iranian languages,Category:Urdu terms derived from Iranian languages,4,1,https://en.wiktionary.org/wiki/Category:Urdu_terms_derived_from_Iranian_languages
49,Gujarati,Germanic languages,Category:Gujarati terms derived from Germanic languages,3,1,https://en.wiktionary.org/wiki/Category:Gujarati_terms_derived_from_Germanic_languages
50,Bashkir,Turkic languages,Category:Bashkir terms derived from Turkic languages,0,10,https://en.wiktionary.org/wiki/Category:Bashkir_terms_derived_from_Turkic_languages
51,Portuguese,Slavic languages,Category:Portuguese terms derived from Slavic languages,8,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Slavic_languages
52,English,constructed languages,Category:English terms derived from constructed languages,8,11,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_constructed_languages
53,Translingual,Semitic languages,Category:Translingual terms derived from Semitic languages,2,1,https://en.wiktionary.org/wiki/Category:Translingual_terms_derived_from_Semitic_languages
54,Hungarian,Austronesian languages,Category:Hungarian terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Hungarian_terms_derived_from_Austronesian_languages
55,Malay,Semitic languages,Category:Malay terms derived from Semitic languages,5,1,https://en.wiktionary.org/wiki/Category:Malay_terms_derived_from_Semitic_languages
56,Asturian,Semitic languages,Category:Asturian terms derived from Semitic languages,4,1,https://en.wiktionary.org/wiki/Category:Asturian_terms_derived_from_Semitic_languages
57,Faroese,Turkic languages,Category:Faroese terms derived from Turkic languages,5,1,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Turkic_languages
58,Chinese,Slavic languages,Category:Chinese terms derived from Slavic languages,5,1,https://en.wiktionary.org/wiki/Category:Chinese_terms_derived_from_Slavic_languages
59,Finnish,Finnic languages,Category:Finnish terms derived from Finnic languages,6,10,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Finnic_languages
60,Tagalog,Romance languages,Category:Tagalog terms derived from Romance languages,2,10,https://en.wiktionary.org/wiki/Category:Tagalog_terms_derived_from_Romance_languages
61,German,Semitic languages,Category:German terms derived from Semitic languages,6,1,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Semitic_languages
62,Swedish,Uralic languages,Category:Swedish terms derived from Uralic languages,4,1,https://en.wiktionary.org/wiki/Category:Swedish_terms_derived_from_Uralic_languages
63,Welsh,Semitic languages,Category:Welsh terms derived from Semitic languages,4,1,https://en.wiktionary.org/wiki/Category:Welsh_terms_derived_from_Semitic_languages
64,English,Eskimo languages,Category:English terms derived from Eskimo languages,3,2,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Eskimo_languages
65,Hungarian,Uralic languages,Category:Hungarian terms derived from Uralic languages,4,1,https://en.wiktionary.org/wiki/Category:Hungarian_terms_derived_from_Uralic_languages
66,French,Sinitic languages,Category:French terms derived from Sinitic languages,7,1,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Sinitic_languages
67,German,Uralic languages,Category:German terms derived from Uralic languages,6,1,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Uralic_languages
68,Estonian,Slavic languages,Category:Estonian terms derived from Slavic languages,5,1,https://en.wiktionary.org/wiki/Category:Estonian_terms_derived_from_Slavic_languages
69,English,Philippine languages,Category:English terms derived from Philippine languages,6,11,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Philippine_languages
70,Thai,Tai languages,Category:Thai terms derived from Tai languages,2,1,https://en.wiktionary.org/wiki/Category:Thai_terms_derived_from_Tai_languages
71,French,Slavic languages,Category:French terms derived from Slavic languages,7,1,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Slavic_languages
72,Irish,Celtic languages,Category:Irish terms derived from Celtic languages,8,1,https://en.wiktionary.org/wiki/Category:Irish_terms_derived_from_Celtic_languages
73,Welsh,Germanic languages,Category:Welsh terms derived from Germanic languages,3,1,https://en.wiktionary.org/wiki/Category:Welsh_terms_derived_from_Germanic_languages
74,Bislama,Austronesian languages,Category:Bislama terms derived from Austronesian languages,2,1,https://en.wiktionary.org/wiki/Category:Bislama_terms_derived_from_Austronesian_languages
75,Portuguese,Sinitic languages,Category:Portuguese terms derived from Sinitic languages,5,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Sinitic_languages
76,English,Hellenic languages,Category:English terms derived from Hellenic languages,1,10,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Hellenic_languages
77,Finnish,Iranian languages,Category:Finnish terms derived from Iranian languages,3,1,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Iranian_languages
78,Slovene,Slavic languages,Category:Slovene terms derived from Slavic languages,6,1,https://en.wiktionary.org/wiki/Category:Slovene_terms_derived_from_Slavic_languages
79,Latin,Slavic languages,Category:Latin terms derived from Slavic languages,4,1,https://en.wiktionary.org/wiki/Category:Latin_terms_derived_from_Slavic_languages
80,Erzya,Uralic languages,Category:Erzya terms derived from Uralic languages,3,1,https://en.wiktionary.org/wiki/Category:Erzya_terms_derived_from_Uralic_languages
81,Russian,Sinitic languages,Category:Russian terms derived from Sinitic languages,7,1,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Sinitic_languages
82,Chinese,Semitic languages,Category:Chinese terms derived from Semitic languages,2,1,https://en.wiktionary.org/wiki/Category:Chinese_terms_derived_from_Semitic_languages
83,Albanian,Germanic languages,Category:Albanian terms derived from Germanic languages,3,2,https://en.wiktionary.org/wiki/Category:Albanian_terms_derived_from_Germanic_languages
84,Lao,Austroasiatic languages,Category:Lao terms derived from Austroasiatic languages,1,1,https://en.wiktionary.org/wiki/Category:Lao_terms_derived_from_Austroasiatic_languages
85,English,Japanese,Category:English terms derived from Japanese,5,2121,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Japanese
86,Akkadian,Semitic languages,Category:Akkadian terms derived from Semitic languages,3,1,https://en.wiktionary.org/wiki/Category:Akkadian_terms_derived_from_Semitic_languages
87,English,Salishan languages,Category:English terms derived from Salishan languages,8,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Salishan_languages
88,Uyghur,Iranian languages,Category:Uyghur terms derived from Iranian languages,2,1,https://en.wiktionary.org/wiki/Category:Uyghur_terms_derived_from_Iranian_languages
89,Malay,Iranian languages,Category:Malay terms derived from Iranian languages,3,1,https://en.wiktionary.org/wiki/Category:Malay_terms_derived_from_Iranian_languages
90,Cornish,Semitic languages,Category:Cornish terms derived from Semitic languages,1,1,https://en.wiktionary.org/wiki/Category:Cornish_terms_derived_from_Semitic_languages
91,Ingrian,Germanic languages,Category:Ingrian terms derived from Germanic languages,3,1,https://en.wiktionary.org/wiki/Category:Ingrian_terms_derived_from_Germanic_languages
92,Irish,Iranian languages,Category:Irish terms derived from Iranian languages,3,1,https://en.wiktionary.org/wiki/Category:Irish_terms_derived_from_Iranian_languages
93,Translingual,Algonquian languages,Category:Translingual terms derived from Algonquian languages,6,2,https://en.wiktionary.org/wiki/Category:Translingual_terms_derived_from_Algonquian_languages
94,Scots,Celtic languages,Category:Scots terms derived from Celtic languages,6,1,https://en.wiktionary.org/wiki/Category:Scots_terms_derived_from_Celtic_languages
95,Catalan,Iranian languages,Category:Catalan terms derived from Iranian languages,2,1,https://en.wiktionary.org/wiki/Category:Catalan_terms_derived_from_Iranian_languages
96,Walloon,Germanic languages,Category:Walloon terms derived from Germanic languages,2,1,https://en.wiktionary.org/wiki/Category:Walloon_terms_derived_from_Germanic_languages
97,Norman,Celtic languages,Category:Norman terms derived from Celtic languages,4,2,https://en.wiktionary.org/wiki/Category:Norman_terms_derived_from_Celtic_languages
98,Russian,Kipchak languages,Category:Russian terms derived from Kipchak languages,5,1,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Kipchak_languages
99,Slovene,Turkic languages,Category:Slovene terms derived from Turkic languages,4,2,https://en.wiktionary.org/wiki/Category:Slovene_terms_derived_from_Turkic_languages
100,Dutch,Sinitic languages,Category:Dutch terms derived from Sinitic languages,4,2,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_Sinitic_languages
101,Scots,Latin,Category:Scots terms derived from Latin,5,60,https://en.wiktionary.org/wiki/Category:Scots_terms_derived_from_Latin
102,Estonian,Latin,Category:Estonian terms derived from Latin,8,65,https://en.wiktionary.org/wiki/Category:Estonian_terms_derived_from_Latin
103,Friulian,Latin,Category:Friulian terms derived from Latin,6,1292,https://en.wiktionary.org/wiki/Category:Friulian_terms_derived_from_Latin
104,Hebrew,Latin,Category:Hebrew terms derived from Latin,5,62,https://en.wiktionary.org/wiki/Category:Hebrew_terms_derived_from_Latin
105,Vilamovian,Latin,Category:Vilamovian terms derived from Latin,5,26,https://en.wiktionary.org/wiki/Category:Vilamovian_terms_derived_from_Latin
106,Cimbrian,Latin,Category:Cimbrian terms derived from Latin,8,135,https://en.wiktionary.org/wiki/Category:Cimbrian_terms_derived_from_Latin
107,Armenian,Latin,Category:Armenian terms derived from Latin,6,21,https://en.wiktionary.org/wiki/Category:Armenian_terms_derived_from_Latin
108,Dalmatian,Latin,Category:Dalmatian terms derived from Latin,6,793,https://en.wiktionary.org/wiki/Category:Dalmatian_terms_derived_from_Latin
109,Icelandic,Latin,Category:Icelandic terms derived from Latin,7,273,https://en.wiktionary.org/wiki/Category:Icelandic_terms_derived_from_Latin
110,Alemannic German,Latin,Category:Alemannic German terms derived from Latin,0,133,https://en.wiktionary.org/wiki/Category:Alemannic_German_terms_derived_from_Latin
111,Russian,Latin,Category:Russian terms derived from Latin,8,683,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Latin
112,Old Irish,Latin,Category:Old Irish terms derived from Latin,5,159,https://en.wiktionary.org/wiki/Category:Old_Irish_terms_derived_from_Latin
113,Aromanian,Latin,Category:Aromanian terms derived from Latin,7,1575,https://en.wiktionary.org/wiki/Category:Aromanian_terms_derived_from_Latin
114,Old Portuguese,Latin,Category:Old Portuguese terms derived from Latin,6,366,https://en.wiktionary.org/wiki/Category:Old_Portuguese_terms_derived_from_Latin
115,Istriot,Latin,Category:Istriot terms derived from Latin,8,338,https://en.wiktionary.org/wiki/Category:Istriot_terms_derived_from_Latin
116,English,Arabic,Category:English terms derived from Arabic,5,1629,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Arabic
117,Afrikaans,Latin,Category:Afrikaans terms derived from Latin,5,216,https://en.wiktionary.org/wiki/Category:Afrikaans_terms_derived_from_Latin
118,Sicilian,Latin,Category:Sicilian terms derived from Latin,6,585,https://en.wiktionary.org/wiki/Category:Sicilian_terms_derived_from_Latin
119,Zazaki,Turkic languages,Category:Zazaki terms derived from Turkic languages,2,1,https://en.wiktionary.org/wiki/Category:Zazaki_terms_derived_from_Turkic_languages
120,Latvian,Finnic languages,Category:Latvian terms derived from Finnic languages,4,1,https://en.wiktionary.org/wiki/Category:Latvian_terms_derived_from_Finnic_languages
121,Chechen,Turkic languages,Category:Chechen terms derived from Turkic languages,2,1,https://en.wiktionary.org/wiki/Category:Chechen_terms_derived_from_Turkic_languages
122,Danish,Latin,Category:Danish terms derived from Latin,9,884,https://en.wiktionary.org/wiki/Category:Danish_terms_derived_from_Latin
123,English,Tungusic languages,Category:English terms derived from Tungusic languages,6,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Tungusic_languages
124,Georgian,Kartvelian languages,Category:Georgian terms derived from Kartvelian languages,3,2,https://en.wiktionary.org/wiki/Category:Georgian_terms_derived_from_Kartvelian_languages
125,Chechen,Iranian languages,Category:Chechen terms derived from Iranian languages,3,2,https://en.wiktionary.org/wiki/Category:Chechen_terms_derived_from_Iranian_languages
126,Italian,Uralic languages,Category:Italian terms derived from Uralic languages,3,1,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Uralic_languages
127,Estonian,Finnic languages,Category:Estonian terms derived from Finnic languages,0,10,https://en.wiktionary.org/wiki/Category:Estonian_terms_derived_from_Finnic_languages
128,Livonian,Uralic languages,Category:Livonian terms derived from Uralic languages,2,1,https://en.wiktionary.org/wiki/Category:Livonian_terms_derived_from_Uralic_languages
129,English,Inuit languages,Category:English terms derived from Inuit languages,6,2,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Inuit_languages
130,Irish,Turkic languages,Category:Irish terms derived from Turkic languages,2,1,https://en.wiktionary.org/wiki/Category:Irish_terms_derived_from_Turkic_languages
131,Georgian,Austronesian languages,Category:Georgian terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Georgian_terms_derived_from_Austronesian_languages
132,Indonesian,Turkic languages,Category:Indonesian terms derived from Turkic languages,4,1,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Turkic_languages
133,Faroese,Sinitic languages,Category:Faroese terms derived from Sinitic languages,4,1,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Sinitic_languages
134,Bashkir,Germanic languages,Category:Bashkir terms derived from Germanic languages,1,1,https://en.wiktionary.org/wiki/Category:Bashkir_terms_derived_from_Germanic_languages
135,Volapük,Semitic languages,Category:Volapük terms derived from Semitic languages,1,1,https://en.wiktionary.org/wiki/Category:Volap%C3%BCk_terms_derived_from_Semitic_languages
136,Irish,Algonquian languages,Category:Irish terms derived from Algonquian languages,4,1,https://en.wiktionary.org/wiki/Category:Irish_terms_derived_from_Algonquian_languages
137,German,Sinitic languages,Category:German terms derived from Sinitic languages,4,1,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Sinitic_languages
138,Polish,Siouan languages,Category:Polish terms derived from Siouan languages,1,1,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Siouan_languages
139,Gallo,Latin,Category:Gallo terms derived from Latin,5,77,https://en.wiktionary.org/wiki/Category:Gallo_terms_derived_from_Latin
140,Walloon,Latin,Category:Walloon terms derived from Latin,5,230,https://en.wiktionary.org/wiki/Category:Walloon_terms_derived_from_Latin
141,Breton,Latin,Category:Breton terms derived from Latin,6,73,https://en.wiktionary.org/wiki/Category:Breton_terms_derived_from_Latin
142,Korean,Latin,Category:Korean terms derived from Latin,4,40,https://en.wiktionary.org/wiki/Category:Korean_terms_derived_from_Latin
143,Sardinian,Latin,Category:Sardinian terms derived from Latin,5,224,https://en.wiktionary.org/wiki/Category:Sardinian_terms_derived_from_Latin
144,Slovene,Latin,Category:Slovene terms derived from Latin,6,58,https://en.wiktionary.org/wiki/Category:Slovene_terms_derived_from_Latin
145,Piedmontese,Latin,Category:Piedmontese terms derived from Latin,5,72,https://en.wiktionary.org/wiki/Category:Piedmontese_terms_derived_from_Latin
146,English,Occitan,Category:English terms derived from Occitan,3,47,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Occitan
147,Belarusian,Latin,Category:Belarusian terms derived from Latin,6,26,https://en.wiktionary.org/wiki/Category:Belarusian_terms_derived_from_Latin
148,Corsican,Latin,Category:Corsican terms derived from Latin,5,170,https://en.wiktionary.org/wiki/Category:Corsican_terms_derived_from_Latin
149,Ladino,Latin,Category:Ladino terms derived from Latin,5,287,https://en.wiktionary.org/wiki/Category:Ladino_terms_derived_from_Latin
150,English,Harry Potter,Category:English terms derived from Harry Potter,0,8,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Harry_Potter
151,Romansch,Latin,Category:Romansch terms derived from Latin,5,1186,https://en.wiktionary.org/wiki/Category:Romansch_terms_derived_from_Latin
152,Middle Dutch,Latin,Category:Middle Dutch terms derived from Latin,4,73,https://en.wiktionary.org/wiki/Category:Middle_Dutch_terms_derived_from_Latin
153,Franco-Provençal,Latin,Category:Franco-Provençal terms derived from Latin,5,113,https://en.wiktionary.org/wiki/Category:Franco-Proven%C3%A7al_terms_derived_from_Latin
154,Scottish Gaelic,Latin,Category:Scottish Gaelic terms derived from Latin,6,199,https://en.wiktionary.org/wiki/Category:Scottish_Gaelic_terms_derived_from_Latin
155,Maltese,Latin,Category:Maltese terms derived from Latin,4,247,https://en.wiktionary.org/wiki/Category:Maltese_terms_derived_from_Latin
156,Classical Nahuatl,Latin,Category:Classical Nahuatl terms derived from Latin,4,26,https://en.wiktionary.org/wiki/Category:Classical_Nahuatl_terms_derived_from_Latin
157,Indonesian,Old French,Category:Indonesian terms derived from Old French,3,191,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Old_French
158,Bikol Central,Latin,Category:Bikol Central terms derived from Latin,3,11,https://en.wiktionary.org/wiki/Category:Bikol_Central_terms_derived_from_Latin
159,Luxembourgish,Latin,Category:Luxembourgish terms derived from Latin,4,223,https://en.wiktionary.org/wiki/Category:Luxembourgish_terms_derived_from_Latin
160,Spanish,Berber languages,Category:Spanish terms derived from Berber languages,6,8,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Berber_languages
161,Catalan,Tupian languages,Category:Catalan terms derived from Tupian languages,1,1,https://en.wiktionary.org/wiki/Category:Catalan_terms_derived_from_Tupian_languages
162,Abkhaz,Iranian languages,Category:Abkhaz terms derived from Iranian languages,1,1,https://en.wiktionary.org/wiki/Category:Abkhaz_terms_derived_from_Iranian_languages
163,Albanian,Celtic languages,Category:Albanian terms derived from Celtic languages,4,1,https://en.wiktionary.org/wiki/Category:Albanian_terms_derived_from_Celtic_languages
164,Gujarati,Sinitic languages,Category:Gujarati terms derived from Sinitic languages,3,1,https://en.wiktionary.org/wiki/Category:Gujarati_terms_derived_from_Sinitic_languages
165,Dutch,Nahuan languages,Category:Dutch terms derived from Nahuan languages,3,1,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_Nahuan_languages
166,German,Sinitic languages,Category:German terms derived from Sinitic languages,4,1,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Sinitic_languages
167,Faroese,Sinitic languages,Category:Faroese terms derived from Sinitic languages,4,1,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Sinitic_languages
168,Georgian,Kartvelian languages,Category:Georgian terms derived from Kartvelian languages,3,2,https://en.wiktionary.org/wiki/Category:Georgian_terms_derived_from_Kartvelian_languages
169,Chechen,Iranian languages,Category:Chechen terms derived from Iranian languages,3,2,https://en.wiktionary.org/wiki/Category:Chechen_terms_derived_from_Iranian_languages
170,Estonian,Finnic languages,Category:Estonian terms derived from Finnic languages,0,10,https://en.wiktionary.org/wiki/Category:Estonian_terms_derived_from_Finnic_languages
171,Italian,Uralic languages,Category:Italian terms derived from Uralic languages,3,1,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Uralic_languages
172,Indonesian,Turkic languages,Category:Indonesian terms derived from Turkic languages,4,1,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Turkic_languages
173,Livonian,Uralic languages,Category:Livonian terms derived from Uralic languages,2,1,https://en.wiktionary.org/wiki/Category:Livonian_terms_derived_from_Uralic_languages
174,Georgian,Austronesian languages,Category:Georgian terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Georgian_terms_derived_from_Austronesian_languages
175,Faroese,Latin,Category:Faroese terms derived from Latin,9,193,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Latin
176,Marshallese,Latin,Category:Marshallese terms derived from Latin,6,119,https://en.wiktionary.org/wiki/Category:Marshallese_terms_derived_from_Latin
177,Romanian,Latin,Category:Romanian terms derived from Latin,9,3801,https://en.wiktionary.org/wiki/Category:Romanian_terms_derived_from_Latin
178,Aragonese,Latin,Category:Aragonese terms derived from Latin,7,238,https://en.wiktionary.org/wiki/Category:Aragonese_terms_derived_from_Latin
179,German,Latin,Category:German terms derived from Latin,9,2056,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Latin
180,Old Armenian,Latin,Category:Old Armenian terms derived from Latin,4,35,https://en.wiktionary.org/wiki/Category:Old_Armenian_terms_derived_from_Latin
181,Latvian,Latin,Category:Latvian terms derived from Latin,9,365,https://en.wiktionary.org/wiki/Category:Latvian_terms_derived_from_Latin
182,Venetian,Latin,Category:Venetian terms derived from Latin,7,674,https://en.wiktionary.org/wiki/Category:Venetian_terms_derived_from_Latin
183,Galician,Latin,Category:Galician terms derived from Latin,9,3884,https://en.wiktionary.org/wiki/Category:Galician_terms_derived_from_Latin
184,Occitan,Latin,Category:Occitan terms derived from Latin,9,1169,https://en.wiktionary.org/wiki/Category:Occitan_terms_derived_from_Latin
185,Finnish,Latin,Category:Finnish terms derived from Latin,9,581,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Latin
186,Norman,Latin,Category:Norman terms derived from Latin,7,2031,https://en.wiktionary.org/wiki/Category:Norman_terms_derived_from_Latin
