,Recipient Language,Source Language(s),Title,Subcategories,Entries,URL
5708,Central Kurdish,Russian,Category:Central Kurdish terms derived from Russian,1,1,https://en.wiktionary.org/wiki/Category:Central_Kurdish_terms_derived_from_Russian
5709,Kurdish,Classical Syriac,Category:Kurdish terms derived from Classical Syriac,0,1,https://en.wiktionary.org/wiki/Category:Kurdish_terms_derived_from_Classical_Syriac
5710,Middle Persian,Sogdian,Category:Middle Persian terms derived from Sogdian,1,1,https://en.wiktionary.org/wiki/Category:Middle_Persian_terms_derived_from_Sogdian
5711,Norwegian,Proto-Norse,Category:Norwegian terms derived from Proto-Norse,1,2,https://en.wiktionary.org/wiki/Category:Norwegian_terms_derived_from_Proto-Norse
5712,Latvian,Old Swedish,Category:Latvian terms derived from Old Swedish,0,1,https://en.wiktionary.org/wiki/Category:Latvian_terms_derived_from_Old_Swedish
5713,Wiyot,Chinook Jargon,Category:Wiyot terms derived from Chinook Jargon,0,2,https://en.wiktionary.org/wiki/Category:Wiyot_terms_derived_from_Chinook_Jargon
5714,Hawaiian,Middle English,Category:Hawaiian terms derived from Middle English,0,2,https://en.wiktionary.org/wiki/Category:Hawaiian_terms_derived_from_Middle_English
5715,Haitian Creole,Wolof,Category:Haitian Creole terms derived from Wolof,0,1,https://en.wiktionary.org/wiki/Category:Haitian_Creole_terms_derived_from_Wolof
5716,Nigerian Pidgin,Hausa,Category:Nigerian Pidgin terms derived from Hausa,0,1,https://en.wiktionary.org/wiki/Category:Nigerian_Pidgin_terms_derived_from_Hausa
5717,Hungarian,Old Spanish,Category:Hungarian terms derived from Old Spanish,0,1,https://en.wiktionary.org/wiki/Category:Hungarian_terms_derived_from_Old_Spanish
5718,Crimean Tatar,Swedish,Category:Crimean Tatar terms derived from Swedish,0,1,https://en.wiktionary.org/wiki/Category:Crimean_Tatar_terms_derived_from_Swedish
5719,Dutch,Jamaican Creole,Category:Dutch terms derived from Jamaican Creole,0,1,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_Jamaican_Creole
5720,Catalan,Serbo-Croatian,Category:Catalan terms derived from Serbo-Croatian,0,1,https://en.wiktionary.org/wiki/Category:Catalan_terms_derived_from_Serbo-Croatian
5721,Catalan,Alemannic German,Category:Catalan terms derived from Alemannic German,0,1,https://en.wiktionary.org/wiki/Category:Catalan_terms_derived_from_Alemannic_German
5722,Esperanto,Middle English,Category:Esperanto terms derived from Middle English,0,1,https://en.wiktionary.org/wiki/Category:Esperanto_terms_derived_from_Middle_English
5723,Crimean Tatar,Aramaic,Category:Crimean Tatar terms derived from Aramaic,0,1,https://en.wiktionary.org/wiki/Category:Crimean_Tatar_terms_derived_from_Aramaic
5724,Old Prussian,Gothic,Category:Old Prussian terms derived from Gothic,0,1,https://en.wiktionary.org/wiki/Category:Old_Prussian_terms_derived_from_Gothic
5725,Czech,Middle Dutch,Category:Czech terms derived from Middle Dutch,0,1,https://en.wiktionary.org/wiki/Category:Czech_terms_derived_from_Middle_Dutch
5726,Finnish,Old Persian,Category:Finnish terms derived from Old Persian,0,1,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Old_Persian
5727,Ossetian,Middle Persian,Category:Ossetian terms derived from Middle Persian,1,2,https://en.wiktionary.org/wiki/Category:Ossetian_terms_derived_from_Middle_Persian
5728,Serbo-Croatian,Friulian,Category:Serbo-Croatian terms derived from Friulian,1,2,https://en.wiktionary.org/wiki/Category:Serbo-Croatian_terms_derived_from_Friulian
5729,Classical Syriac,Vulgar Latin,Category:Classical Syriac terms derived from Vulgar Latin,0,1,https://en.wiktionary.org/wiki/Category:Classical_Syriac_terms_derived_from_Vulgar_Latin
5730,Latvian,Old English,Category:Latvian terms derived from Old English,0,1,https://en.wiktionary.org/wiki/Category:Latvian_terms_derived_from_Old_English
5731,Old Persian,Aramaic,Category:Old Persian terms derived from Aramaic,0,1,https://en.wiktionary.org/wiki/Category:Old_Persian_terms_derived_from_Aramaic
5732,Danish,Alemannic German,Category:Danish terms derived from Alemannic German,0,1,https://en.wiktionary.org/wiki/Category:Danish_terms_derived_from_Alemannic_German
5733,Ottoman Turkish,Hebrew,Category:Ottoman Turkish terms derived from Hebrew,1,1,https://en.wiktionary.org/wiki/Category:Ottoman_Turkish_terms_derived_from_Hebrew
5734,North Frisian,German,Category:North Frisian terms derived from German,0,1,https://en.wiktionary.org/wiki/Category:North_Frisian_terms_derived_from_German
5735,Old Georgian,Parthian,Category:Old Georgian terms derived from Parthian,1,1,https://en.wiktionary.org/wiki/Category:Old_Georgian_terms_derived_from_Parthian
5736,Principense,Old Portuguese,Category:Principense terms derived from Old Portuguese,0,1,https://en.wiktionary.org/wiki/Category:Principense_terms_derived_from_Old_Portuguese
5737,Crimean Tatar,Medieval Latin,Category:Crimean Tatar terms derived from Medieval Latin,0,1,https://en.wiktionary.org/wiki/Category:Crimean_Tatar_terms_derived_from_Medieval_Latin
5738,Basque,Middle Persian,Category:Basque terms derived from Middle Persian,0,1,https://en.wiktionary.org/wiki/Category:Basque_terms_derived_from_Middle_Persian
5739,Icelandic,Middle Dutch,Category:Icelandic terms derived from Middle Dutch,0,1,https://en.wiktionary.org/wiki/Category:Icelandic_terms_derived_from_Middle_Dutch
5740,Classical Nahuatl,Late Latin,Category:Classical Nahuatl terms derived from Late Latin,0,1,https://en.wiktionary.org/wiki/Category:Classical_Nahuatl_terms_derived_from_Late_Latin
5741,Thai,Northern Thai,Category:Thai terms derived from Northern Thai,0,1,https://en.wiktionary.org/wiki/Category:Thai_terms_derived_from_Northern_Thai
5742,Translingual,Old Portuguese,Category:Translingual terms derived from Old Portuguese,0,1,https://en.wiktionary.org/wiki/Category:Translingual_terms_derived_from_Old_Portuguese
5743,Venetian,Min Nan,Category:Venetian terms derived from Min Nan,0,1,https://en.wiktionary.org/wiki/Category:Venetian_terms_derived_from_Min_Nan
5744,Volapük,Min Nan,Category:Volapük terms derived from Min Nan,0,1,https://en.wiktionary.org/wiki/Category:Volap%C3%BCk_terms_derived_from_Min_Nan
5745,Old Portuguese,Punic,Category:Old Portuguese terms derived from Punic,0,1,https://en.wiktionary.org/wiki/Category:Old_Portuguese_terms_derived_from_Punic
5746,Karelian,Old Norse,Category:Karelian terms derived from Old Norse,0,1,https://en.wiktionary.org/wiki/Category:Karelian_terms_derived_from_Old_Norse
5747,Dadibi,Tok Pisin,Category:Dadibi terms derived from Tok Pisin,0,1,https://en.wiktionary.org/wiki/Category:Dadibi_terms_derived_from_Tok_Pisin
5748,Russian,Chinook Jargon,Category:Russian terms derived from Chinook Jargon,1,1,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Chinook_Jargon
5749,Megleno-Romanian,Late Latin,Category:Megleno-Romanian terms derived from Late Latin,1,1,https://en.wiktionary.org/wiki/Category:Megleno-Romanian_terms_derived_from_Late_Latin
5750,Norman,Min Nan,Category:Norman terms derived from Min Nan,0,1,https://en.wiktionary.org/wiki/Category:Norman_terms_derived_from_Min_Nan
5751,Mirandese,Middle Persian,Category:Mirandese terms derived from Middle Persian,0,1,https://en.wiktionary.org/wiki/Category:Mirandese_terms_derived_from_Middle_Persian
5752,Norwegian,Low German,Category:Norwegian terms derived from Low German,4,1,https://en.wiktionary.org/wiki/Category:Norwegian_terms_derived_from_Low_German
5753,Spanish,Haitian Creole,Category:Spanish terms derived from Haitian Creole,0,1,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Haitian_Creole
5754,Cinta Larga,Portuguese,Category:Cinta Larga terms derived from Portuguese,0,1,https://en.wiktionary.org/wiki/Category:Cinta_Larga_terms_derived_from_Portuguese
5755,English,Central Kurdish,Category:English terms derived from Central Kurdish,0,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Central_Kurdish
5756,Bashkir,Classical Syriac,Category:Bashkir terms derived from Classical Syriac,0,1,https://en.wiktionary.org/wiki/Category:Bashkir_terms_derived_from_Classical_Syriac
5757,Urdu,Min Nan,Category:Urdu terms derived from Min Nan,0,1,https://en.wiktionary.org/wiki/Category:Urdu_terms_derived_from_Min_Nan
5758,Telugu,Min Nan,Category:Telugu terms derived from Min Nan,0,1,https://en.wiktionary.org/wiki/Category:Telugu_terms_derived_from_Min_Nan
5759,Malayalam,Old Portuguese,Category:Malayalam terms derived from Old Portuguese,0,2,https://en.wiktionary.org/wiki/Category:Malayalam_terms_derived_from_Old_Portuguese
5760,Taliabu,Old Javanese,Category:Taliabu terms derived from Old Javanese,1,1,https://en.wiktionary.org/wiki/Category:Taliabu_terms_derived_from_Old_Javanese
5761,Luxembourgish,Low German,Category:Luxembourgish terms derived from Low German,0,1,https://en.wiktionary.org/wiki/Category:Luxembourgish_terms_derived_from_Low_German
5762,Chamba Daka,Hausa,Category:Chamba Daka terms derived from Hausa,1,1,https://en.wiktionary.org/wiki/Category:Chamba_Daka_terms_derived_from_Hausa
